support,itemsets,length
0.26859769132107736,全脂牛奶,1
0.20339888841385206,其他蔬菜,1
0.1933518597691321,面包卷,1
0.18330483112441215,苏打,1
0.1466438648995297,酸奶,1
0.11618212911500642,瓶装水,1
0.1145788798631894,根茎类蔬菜,1
0.11030354852501069,热带水果,1
0.10356990166737923,购物袋,1
0.09876015391192818,香肠,1
0.09352287302265926,糕点,1
0.08700299273193672,柑橘类水果,1
0.08390337751175717,报纸,1
0.07952116289012398,仁果类水果,1
0.07599401453612654,水果/蔬菜汁,1
0.07535271483539974,酸奶油,1
0.06819153484395041,黑面包,1
0.06669516887558785,本地蛋类,1
0.061992304403591277,冷冻热狗肠,1
0.06156477126977341,人造黄油,1
0.06103035485250107,咖啡,1
0.0606028217186832,猪肉,1
0.05825138948268491,黄油,1
0.056006840530141086,凝乳,1
0.055151774262505344,牛肉,1
0.055044890979050874,餐巾,1
0.052159042325780246,巧克力,1
0.05055579307396323,冷冻蔬菜,1
0.04510474561778538,鸡,1
0.04424967935014964,白面包,1
0.041684480547242414,奶油乳酪,1
0.0404018811457888,威化饼,1
0.03976058144506199,咸点心,1
0.03933304831124412,长面包,1
0.03901239846088072,甜点,1
0.03559213339033775,糖,1
0.03516460025651988,超高温杀菌的牛奶,1
0.034950833689610945,汉堡肉,1
0.034950833689610945,莓果,1
0.03463018383924754,卫生用品,1
0.032599401453612654,洋葱,1
0.03195810175288585,特色巧克力,1
0.03142368533561351,糖果,1
0.029820436083796493,其他饮料,1
0.029820436083796493,冷冻餐饭,1
0.029499786233433092,油,1
0.029392902949978622,酪,1
0.028751603249251818,特制门锁,1
0.027362120564343735,一般饮料,1
0.027362120564343735,火腿,1
0.0271483539974348,一般肉类,1
0.02629328772979906,冰淇淋,1
0.025758871312526722,切片奶酪,1
0.025758871312526722,硬奶酪,1
0.024476271911073107,猫食,1
0.0235143223599829,葡萄,1
0.02212483967507482,口香糖,1
0.0202009405728944,一般清洁剂,1
0.01881145788798632,腌菜,1
0.018597691321077383,半成品面包,1
0.018597691321077383,发酵粉,1
0.018490808037622916,碗碟,1
0.01827704147071398,面粉,1
0.018170158187259512,盆栽,1
0.01795639162035058,软奶酪,1
0.017421975203078238,融化奶酪,1
0.017101325352714837,香草,1
0.01581872595126122,意大利面,1
0.01581872595126122,罐头鱼,1
0.014963659683625482,季节性商品,1
0.013894826849080803,风味蛋糕,1
0.013681060282171868,包装水果/蔬菜,1
0.01261222744762719,芥末,1
0.012291577597263788,冷冻鱼,1
0.011970927746900385,保鲜膜/袋,1
0.01175716117999145,水果奶油涂抹酱,1
0.011329628046173578,冷冻甜点,1
0.011329628046173578,盐,1
0.011329628046173578,罐头蔬菜,1
0.011008978195810174,厨房清洁剂,1
0.010902094912355708,花卉种子,1
0.010795211628901239,卷装制品,1
0.010795211628901239,炼乳,1
